no,product_name,pesticide_type,formulation,ingredient_name,ingredient_concentration,ingredient_unit,nama_komoditas,target_pest,dose_value,dose_unit,registered_at,expired_at
1,BASUNDEP 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,penggerek batang,2,ml/l,2024-03-04,2029-03-04
2,"HOOWLA 5,7 SG",Insektisida,SG,emamektin benzoat,5.7,%,padi,penggerek batang,2.25,g/l,2024-09-19,2029-09-19
3,LESENTA 80 WG,Insektisida,WG,fipronil,40,%,padi,penggerek batang,200,g/ha,2022-06-27,2027-06-27
4,LESENTA 80 WG,Insektisida,WG,fipronil,40,%,padi,penggerek batang,200,g/ha,2022-06-27,2027-06-27
5,LESENTA 80 WG,Insektisida,WG,fipronil,40,%,padi,penggerek batang,200,g/ha,2022-06-27,2027-06-27
6,LESENTA 80 WG,Insektisida,WG,imidacloprid,40,%,padi,penggerek batang,200,g/ha,2022-06-27,2027-06-27
7,LESENTA 80 WG,Insektisida,WG,imidacloprid,40,%,padi,penggerek batang,200,g/ha,2022-06-27,2027-06-27
8,LESENTA 80 WG,Insektisida,WG,imidacloprid,40,%,padi,penggerek batang,200,g/ha,2022-06-27,2027-06-27
9,MEURTIEUR 30 EC,Insektisida,EC,Emamektin benzoat,30,g/l,padi,penggerek batang,1.5,ml/l,2024-08-09,2029-08-09
10,PHOSCORMITE 18 EC,Insektisida,EC,Abamektin,18,g/l,padi,penggerek batang,1,ml/l,2024-09-19,2029-09-19
11,TAMAFUR 3 GR,Insektisida,GR,Karbofuran,3,%,padi,penggerek batang,17,kg/ha,2026-01-20,2031-01-20
12,TRUPER 3 GR,Insektisida,GR,karbofuran,3,%,padi,penggerek batang,10,kg/ha,2026-01-20,2031-01-20
13,REGENT 0.3 GR,Insektisida,GR,Fipronil,0.3,%,padi,penggerek batang,10,kg/ha,2026-04-20,2031-04-20
14,LESENTA 80 WG,Insektisida,WG,fipronil,40,%,padi,walang sangit,200,g/ha,2022-06-27,2027-06-27
15,LESENTA 80 WG,Insektisida,WG,fipronil,40,%,padi,walang sangit,200,g/ha,2022-06-27,2027-06-27
16,LESENTA 80 WG,Insektisida,WG,fipronil,40,%,padi,walang sangit,200,g/ha,2022-06-27,2027-06-27
17,LESENTA 80 WG,Insektisida,WG,imidacloprid,40,%,padi,walang sangit,200,g/ha,2022-06-27,2027-06-27
18,LESENTA 80 WG,Insektisida,WG,imidacloprid,40,%,padi,walang sangit,200,g/ha,2022-06-27,2027-06-27
19,LESENTA 80 WG,Insektisida,WG,imidacloprid,40,%,padi,walang sangit,200,g/ha,2022-06-27,2027-06-27
20,BAZAK 29/12 WG,Insektisida,WG,Dinotefuran,12,%,padi,wereng batang cokelat,2,g/l,2025-02-17,2030-02-17
21,BAZAK 29/12 WG,Insektisida,WG,Pimetrozin,29,%,padi,wereng batang cokelat,2,g/l,2025-02-17,2030-02-17
22,LESENTA 80 WG,Insektisida,WG,fipronil,40,%,padi,wereng batang cokelat,200,g/ha,2022-06-27,2027-06-27
23,LESENTA 80 WG,Insektisida,WG,fipronil,40,%,padi,wereng batang cokelat,200,g/ha,2022-06-27,2027-06-27
24,LESENTA 80 WG,Insektisida,WG,fipronil,40,%,padi,wereng batang cokelat,200,g/ha,2022-06-27,2027-06-27
25,LESENTA 80 WG,Insektisida,WG,imidacloprid,40,%,padi,wereng batang cokelat,200,g/ha,2022-06-27,2027-06-27
26,LESENTA 80 WG,Insektisida,WG,imidacloprid,40,%,padi,wereng batang cokelat,200,g/ha,2022-06-27,2027-06-27
27,LESENTA 80 WG,Insektisida,WG,imidacloprid,40,%,padi,wereng batang cokelat,200,g/ha,2022-06-27,2027-06-27
28,ABAKTIN 18 EC,Insektisida,EC,Abamectin,18,%,padi,penggerek batang,"1,5",ml/l,2024-03-05,2029-03-05
29,ABAPEAK 32 EC,Insektisida,EC,Abamektin,32,g/l,padi,penggerek batang,1,ml/l,2024-11-18,2029-11-18
30,AFONIL 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"0,5",ml/l,2023-08-28,2028-08-28
31,AGENT 50 SC,Insektisida,SC,fipronil,50,g/l,padi,penggerek batang,2,ml/l,2023-04-26,2028-04-26
32,AJAR 450 SL,Insektisida,SL,Dimehipo,450,g/l,padi,penggerek batang,"1,5",ml/l,2025-07-11,2030-07-11
33,ALFAMEX 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,1.5,ml/l,2023-02-08,2028-02-08
34,ALPHADINE 6 GR,Insektisida,GR,dimehipo,6,%,padi,penggerek batang,12,kg/ha,2022-06-27,2027-06-27
35,"AMFIPRON 0,3 GR",Insektisida,GR,Fipronil,"0,3",%,padi,penggerek batang,25,kg/ha,2023-04-26,2028-04-26
36,AMURON 20/50 EC,Insektisida,EC,Emamektin benzoat,20,g/l,padi,penggerek batang,1,ml/l,2024-03-04,2029-03-04
37,AMURON 20/50 EC,Insektisida,EC,Heksaflumuron,50,g/l,padi,penggerek batang,1,ml/l,2024-03-04,2029-03-04
38,ANDROMEDA 50/100 EC,Insektisida,EC,Abamektin,50,g/l,padi,penggerek batang,1,ml/l,2024-08-09,2029-08-09
39,ANDROMEDA 50/100 EC,Insektisida,EC,Asetamiprid,100,g/l,padi,penggerek batang,1,ml/l,2024-08-09,2029-08-09
40,"Aneto 0,5 GR",Insektisida,GR,fipronil,"0,5",%,padi,penggerek batang,1,kg/ha,2025-11-13,2030-11-13
41,Aneto 50 EC,Insektisida,EC,fipronil,50,g/l,padi,penggerek batang,1,l/ha,2024-11-18,2029-11-18
42,APOTAP 40/3 WP,Insektisida,WP,Fipronil,3,%,padi,penggerek batang,1,g/l,2024-09-19,2029-09-19
43,APOTAP 40/3 WP,Insektisida,WP,Kartap,40,%,padi,penggerek batang,1,g/l,2024-09-19,2029-09-19
44,ASPRIL 100 SC,Insektisida,SC,Fipronil,100,g/l,padi,penggerek batang,1,ml/l,2022-12-05,2027-12-05
45,ASPRIL 100 SC,Insektisida,SC,Fipronil,100,g/l,padi,penggerek batang,1,ml/l,2022-12-05,2027-12-05
46,ASPRIL 100 SC,Insektisida,SC,Fipronil,100,g/l,padi,penggerek batang,1,ml/l,2022-12-05,2027-12-05
47,ASSOCIATE 40/160 SC,Insektisida,SC,emamektin benzoat,40,g/l,padi,penggerek batang,1,ml/l,2025-11-13,2030-11-13
48,ASSOCIATE 40/160 SC,Insektisida,SC,indosakarb,160,g/l,padi,penggerek batang,1,ml/l,2025-11-13,2030-11-13
49,BADIK 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,"0,75 - 1",ml/l,2022-10-04,2027-10-04
50,BADIK 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,"0,75 - 1",ml/l,2022-10-04,2027-10-04
51,BADIK 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,"0,75 - 1",ml/l,2022-10-04,2027-10-04
52,BADIK 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,"0,75 - 1",ml/l,2022-10-04,2027-10-04
53,BADIK 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,"0,75 - 1",ml/l,2022-10-04,2027-10-04
54,BADIK 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,"0,75 - 1",ml/l,2022-10-04,2027-10-04
55,BADIK 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,"0,75 - 1",ml/l,2022-10-04,2027-10-04
56,BADIK 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,"0,75 - 1",ml/l,2022-10-04,2027-10-04
57,BADIK 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,"0,75 - 1",ml/l,2022-10-04,2027-10-04
58,BADIK 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,"0,75 - 1",ml/l,2022-10-04,2027-10-04
59,BADIK 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,"0,75 - 1",ml/l,2022-10-04,2027-10-04
60,BELT EXPERT 480 SC,Insektisida,SC,flubendiamida,240,g/l,padi,penggerek batang,0.75,ml/l,2024-03-05,2029-03-05
61,BELT EXPERT 480 SC,Insektisida,SC,flubendiamida,240,g/l,padi,penggerek batang,0.75,ml/l,2024-03-05,2029-03-05
62,BELT EXPERT 480 SC,Insektisida,SC,flubendiamida,240,g/l,padi,penggerek batang,0.75,ml/l,2024-03-05,2029-03-05
63,BELT EXPERT 480 SC,Insektisida,SC,tiakloprid,240,g/l,padi,penggerek batang,0.75,ml/l,2024-03-05,2029-03-05
64,BELT EXPERT 480 SC,Insektisida,SC,tiakloprid,240,g/l,padi,penggerek batang,0.75,ml/l,2024-03-05,2029-03-05
65,BELT EXPERT 480 SC,Insektisida,SC,tiakloprid,240,g/l,padi,penggerek batang,0.75,ml/l,2024-03-05,2029-03-05
66,BENZAPYR 20/100 SC,Insektisida,SC,emamektin benzoat,20,g/l,padi,penggerek batang,"2,25",ml/l,2026-01-20,2031-01-20
67,BENZAPYR 20/100 SC,Insektisida,SC,klorfenapir,100,g/l,padi,penggerek batang,"2,25",ml/l,2026-01-20,2031-01-20
68,BESHIPO 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,penggerek batang,"1,5",ml/l,2023-04-26,2028-04-26
69,BESVIDOR 25 WP,Insektisida,WP,Imidakloprid,25,%,padi,penggerek batang,"1,5 - 2",g/l,2025-09-26,2030-09-26
70,BIOGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"0,25",l/ha,2022-12-05,2027-12-05
71,BIOGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"0,25",l/ha,2022-12-05,2027-12-05
72,BIOGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"0,25",l/ha,2022-12-05,2027-12-05
73,BIOGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"0,25",l/ha,2022-12-05,2027-12-05
74,BIOGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"0,25",l/ha,2022-12-05,2027-12-05
75,BIOGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"0,25",l/ha,2022-12-05,2027-12-05
76,BIOGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"0,25",l/ha,2022-12-05,2027-12-05
77,BIOGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"0,25",l/ha,2022-12-05,2027-12-05
78,BIOGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"0,25",l/ha,2022-12-05,2027-12-05
79,CENTADINE 450 SL,Insektisida,SL,dimehipo,450,g/l,padi,penggerek batang,3,ml/l,2022-10-04,2027-10-04
80,CENTAFUR 3 GR,Insektisida,GR,karbofuran,3,%,padi,penggerek batang,"18,75",kg/ha,2023-08-28,2028-08-28
81,CERBERUS 200 SC,Insektisida,SC,Klorantraniliprol,200,g/l,padi,penggerek batang,1,ml/l,2026-01-20,2031-01-20
82,CONQUER 100/200 SC,Insektisida,SC,Klorantraniliprol,100,g/l,padi,penggerek batang,"0,4",ml/l,2025-07-11,2030-07-11
83,CONQUER 100/200 SC,Insektisida,SC,Tiametoksam,200,g/l,padi,penggerek batang,"0,4",ml/l,2025-07-11,2030-07-11
84,CONSTEL 105/420 SC,Insektisida,SC,Klorantraniliprol,105,g/l,padi,penggerek batang,0.75,ml/l,2025-02-17,2030-02-17
85,CONSTEL 105/420 SC,Insektisida,SC,Metoksifenosida,420,g/l,padi,penggerek batang,0.75,ml/l,2025-02-17,2030-02-17
86,CURATERR 3 GR,Insektisida,GR,Karbofuran,3,%,padi,penggerek batang,"12,75",kg/ha,2024-03-04,2029-03-04
87,D-REJEN 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,2,ml/l,2025-11-13,2030-11-13
88,DANATAN 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,2,ml/l,2023-02-08,2028-02-08
89,DELADAXIN 50/90 SC,Insektisida,SC,Spinetoram,90,g/l,padi,penggerek batang,1.7,ml/l,2022-12-05,2027-12-05
90,DELADAXIN 50/90 SC,Insektisida,SC,Spinetoram,90,g/l,padi,penggerek batang,1.7,ml/l,2022-12-05,2027-12-05
91,DELADAXIN 50/90 SC,Insektisida,SC,Spinetoram,90,g/l,padi,penggerek batang,1.7,ml/l,2022-12-05,2027-12-05
92,DELADAXIN 50/90 SC,Insektisida,SC,Spinetoram,90,g/l,padi,penggerek batang,1.7,ml/l,2022-12-05,2027-12-05
